title,content,keywords
"Appalachian Covenant Militia (ACM)","A localized hunter organization rooted in Baptist doctrine and mountain survivalism. They view vampires as demons and utilize guerrilla tactics and faith-based weaponry. They are a persistent low-level threat to Kindred operating in the rural outskirts.","acm,antagonist,faith,human threat,hunters,militia,religious fanatics"
"Apprentice","A Tremere rank for a neonate or ancilla who has not yet achieved the rank of Regent. There are seven circles of apprenticeship.","apprentice,camarilla,rank,student,title,tremere"
"Arcady Sabo","Lasombra Neonate and Primogen. A young but ambitious Shadow, he represents his clan's interests and strives to prove that the Lasombra are a pillar of the Ivory Tower, not its enemy. He is involved in the financial and political spheres.","ambitious,arcady,lasombra primogen,neonate,political climber"
"Archbishop","The ruler of a Sabbat city or domain. Unlike a Prince, their rule is often shared with a council of Bishops, though they are the ultimate authority in military and spiritual matters for that city.","archbishop,city leader,leader,prince equivalent,ruler,sabbat,sabbat ruler,title,tyrant"
"Archbishop Mallori Mayhem","Malkavian Antitribu. Former Archon to Cardinal Polonia. Claimed the Bloodbath on August 2nd, 2025, establishing a new Sabbat Archdiocese in the region.","archbishop,leader,malkavian,mallori mayhem,npc,sabbat"
"Architect (Passive Effect)","Passive Effect: You may attend and witness Judicial Conclaves (but may not speak unless given permission). You may also approach and petition any Justicar or hosting Prince at a Conclave.","access,architect,conclave,justicar,mechanic,passive,status"
"Architect (Spent Effect)","Spent Effect: You may place an agenda item as a topic for the Speaker at a Conclave.","agenda,architect,conclave,mechanic,politics,spent,status"
"Archon","An agent and deputy of a Justicar. They travel the world enforcing the Justicar's will, investigating corruption, and hunting the Red List. They carry the full authority of their patron.","agent,archon,camarilla,commander,deputy,enforcer,investigator,justicar's hand,noble,position,status,title"
"Archon Ferrum Civis","Tremere Archon sent to inspect Asheville in Dec 2024. Destroyed upon arrival.","archon,dead,ferrum civis,npc,tremere"
"Archon Tallula Donegan (Deceased?)","Toreador Elder. Named Archon in 2025 and sent to Argentina. Reportedly hurled from the Alvear Tower in Buenos Aires by the traitor Ana Maria Alverez on Nov 1, 2025.","archon,betrayed,dead,npc,tallula,toreador"
"Ascendant (Passive Effect)","Passive Effect: You are immune to the powers of, and may contradict orders given by, any individual who does not have the Ascendant status.","ascendant,authority,immunity,mechanic,passive,status"
"Ascendant (Spent Effect)","Spent Effect: You may give the Negative Status 'Disgraced' or initiate a global blood hunt. Three expenditures (from different sources) add a target to the Red List or issue a doctrinal edict.","ascendant,blood hunt,mechanic,punishment,red list,spent,status"
"Auctoritas Ritae","The High Rituals of the Sabbat. Thirteen rituals (like the Vaulderie, Creation Rites, Monomacy) practiced by the entire sect to ensure loyalty and unity.","auctoritas ritae,lore,religion,ritual,sabbat"
"Autark","A vampire outside the sect system. Johannan Wilder was one before 2011.","autark,independent,term,unaligned"
"Autarkis","A vampire who refuses to join the Camarilla or any other sect, living on the fringes of society. They claim no rights and offer no allegiance.","autarkis,camarilla,hermit,independent,neutral,rogue,status,unaligned"
"Authority (Passive Effect)","Passive Effect: You may award the Fleeting Statuses 'Courageous', 'Defender', 'Honorable', or 'Loyal' without expending the trait. A target can only hold one such awarded status from the same source at a time.","authority,granting status,mechanic,passive,prince,status"
"Authority (Spent Effect)","Spent Effect: You may punish or pardon. Expend to give the Negative Status 'Warned' or 'Forsaken', or to remove them.","authority,forsaken,mechanic,pardon,punishment,spent,status,warned"
"Baali","An infernal bloodline of vampires who worship demons. They are hated and hunted by both Camarilla and Sabbat.","bloodline,demon worshippers,hated,infernalists"
"Background: Generation (Ancilla)","Mechanical background. 2 dots = 10th Gen. 3 dots = 9th Gen. 11-12 Blood Pool. Support for Techniques.","ancilla,background,generation,mechanics,stats"
"Background: Generation (Elder)","Mechanical background. 4 dots = 8th Gen. 5 dots = 7th Gen. 13-15+ Blood Pool. Access to Elder Powers.","background,elder,generation,mechanics,stats"
"Background: Generation (Neonate)","Mechanical background. 1 dot = 11th Gen. Can take flaws to lower to 12th/13th. 10 Blood Pool, 1 Blood/turn. Cheaper XP costs for skills/backgrounds.","background,generation,mechanics,neonate,stats"
"Baelfire","11th Gen Tzimisce of Old Guard. Scientist interested in the boundaries of unlife.","baelfire,sabbat,scientist,tzimisce"
"Baron Schaefer","The Brujah Baron of Mars Hill and a key Anarch figure. She controls the Mars Hill University library, a repository of lore often considered heretical or forbidden by the Camarilla. She remained neutral during the 1991 domain flip and maintains a tense but functional peace with the Tower.","anarch,anarch baron,baron,baron schaefer,brujah,librarian,library,lore keeper,mars hill,neutral party,schaefer"
"Basilica of St. Lawrence","The primary Elysium of Greater Asheville. It features the largest freestanding dome on the East Coast and houses deep catacombs used for secure meetings. The sanctity of this holy ground is fiercely protected by the Keeper and the Sheriff.","basilica,catacombs,church,court,elysium,haven,location,main haven,meeting place,sanctuary,st lawrence"
"Basillia (Justicar)","The Gangrel Justicar appointed/confirmed in 2023 after the clan's return to the Tower.","basillia,gangrel,justicar,leader,npc"
"Beau Brummell","Banu Haqim Elder and Whip. A sophisticated and dangerous Assamite who enforces the internal discipline of his clan. He is a master of the silent knife and the diplomatic word.","assassin,banu haqim whip,beau brummell,diplomat,elder"
"Bele Chere Festival","A massive street festival in Asheville held in August. A backdrop for intense social maneuvering and potential Masquerade breaches due to the crowds.","bele chere,event,festival,setting,summer"
"Biafra","Nosferatu Neonate and Deputy Scourge. A terrifying investigator and enforcer who hunts the unacknowledged and the enemies of the Prince. He uses his skills in obfuscation and combat to patrol the shadows.","biafra,deputy scourge,enforcer,hunter,nosferatu"
"Big Bird","9th Gen Nosferatu Ductus of Hushed Puppies. Monster.","big bird,ductus,nosferatu,sabbat"
"Big Ben (Destroyed)","Elder of unknown clan. Former Seneschal. Bloodhunted by Prince Daveed and destroyed by Elara (Brujah) on July 5th, 2025.","big ben,blood hunt,dead,elara,elder,npc"
"Bill Colson","Ventrue Ancilla and Deputy Scourge. A more formal enforcer of the Prince's will, ensuring that those who violate the hospitality of the domain are removed or punished. He works in tandem with the Sheriff's office.","bill colson,deputy scourge,enforcer,lawman,ventrue"
"Biltmore No-Go Zone","The strict edict that no Kindred may enter the Biltmore Estate. It acts as a memorial to the tyrant Prince Evander and is enforced by a fragile treaty with the Lupines.","ban,biltmore,forbidden,law,lupines,treaty"
"Bishop","A Sabbat leader who advises the Archbishop or oversees a specific aspect of the city (e.g., Bishop of War, Bishop of the Faith). They advise the Archbishop and command respect from local packs.","advisor,bishop,clergy,council,high rank,lieutenant,overseer,sabbat,sabbat leader,title"
"Black Hand","The 'Lost Tribe'. A secret military order within the Sabbat (and beyond) dedicated to the service of the Antediluvians (or Caine, depending on the faction).","assassins,black hand,elite,faction,lore,military,sabbat,sabbat special forces,secret society"
"Black Mountain","Outlying town mentioned as a Sabbat stronghold in 1991 and present day.","black mountain,location,sabbat,territory"
"Black Mountain Neuro-Medical Center","A ominous medical facility and Sabbat stronghold. Tallula was seen visiting here to meet with Sabbat leaders.","black mountain,creepy,hospital,location,sabbat"
"Blood Bond (Vinculum)","A mystical emotional slavery created by drinking the blood of another vampire three times. The thrall becomes obsessively loyal to the regnant. The Sabbat uses a communal version called the Vaulderie to bond packs to each other rather than a master.","blood bond,emotional control,loyalty,regnant,slavery,three drinks,thrall,vinculum"
"Blood Brothers","A Sabbat bloodline created by the Tzimisce to be perfect shock troops. They share a hive mind and health levels within their circle (pack). 'Roach' is a Blood Brother pack.","blood brother,frankenstein,hive mind,roach,sabbat,sabbat weapon,shock troops"
"Blood Doll","A mortal who willingly lets vampires feed on them, often addicted to the sensation of the Kiss (the pleasure of the bite).","addict,blood doll,toy,vessel,willing victim"
"Blood Hunt","The Lextalionis. A decree by the Prince declaring a Kindred unwanted and stripping them of all status and protection. Any Kindred may hunt and slay them.","blood hunt,death sentence,hunt,law of retaliation,lex talionis"
"Blood Leech","A vampire who feeds on other vampires. Dangerous and frowned upon (or illegal).","archetype,cannibal,diablerie,feeding,lifestyle"
"Blood Resonance","The emotional or physical quality of blood (dyscrasia) that provides bonuses to disciplines. e.g., Melancholy blood boosts Obfuscate.","blood,buff,feeding,flavor,mechanics"
"Bloodline: Ananke","A Malkavian bloodline obsessed with fate and trophies. If they cannot take a trophy from a conflict, they cannot regain Willpower.","ananke,bloodline,fate,malkavian,trophy"
"Bloodline: Brahman","A Ravnos bloodline representing the priestly caste. Philosophers and gurus who seek enlightenment. In-clan disciplines: Animalism, Auspex, Chimerstry.","bloodline,brahman,guru,philosopher,ravnos"
"Bloodline: Coyote","Also known as City Gangrel. A bloodline comfortable in urban environments. They possess Celerity and Obfuscate but lack Fortitude.","bloodline,city gangrel,coyote,gangrel,urban"
"Bloodline: Crusaders","A Ventrue bloodline more akin to soldiers than princes. They are excellent trackers and prone to cruelty. Known for sadism.","bloodline,crusader,sadist,soldier,ventrue"
"Bloodline: Ishtarri","A Toreador bloodline from Africa. They are dancers, acrobats, and spies. They suffer a penalty to resisting emotion-controlling powers.","africa,bloodline,dancer,ishtarri,toreador"
"Bloodline: Knights of the Moon","Malkavians who do not manifest Dementation, but instead possess Dominate. Their insanity manifests as cold sociopathy or dark intellectualization.","bloodline,dominate,knights of the moon,malkavian,sociopath"
"Bloodline: Telyav","A Tremere bloodline of Lithuanian warlocks who practice animistic magic. Presumed extinct but hiding among the Sabbat. They possess Presence instead of Dominate.","bloodline,magic,sabbat,telyav,tremere"
"Bloodline: True Brujah (Sages)","A bloodline that claims to be the true heirs of Brujah, reviling the emotional 'rabble'. They practice Temporis (time manipulation) and are emotionally cold.","bloodline,brujah,sages,temporis,true brujah"
"Bloodline: Volgirre","A Toreador bloodline of antitribu who returned to the Camarilla in 2011. Led by Philippe Volgirre. They can learn Vicissitude without a teacher.","antitribu,bloodline,toreador,vicissitude,volgirre"
"Boon","The currency of favors in Kindred society. Categorized as Trivial, Minor, Major, and Life Boons. Debts must be repaid.","boon,currency,debt,economy,favor,obligation,politics,repayment"
"Boons: Life","The ultimate favor. Saving a vampire's unlife. The debtor effectively belongs to the creditor.","boon,favor,life debt,politics"
"Boons: Major","A large favor (e.g., saving a reputation, killing a rival). Shifts the balance of power.","boon,favor,high value,politics"
"Boons: Minor","A significant favor (e.g., use of influence, teaching a discipline). Requires effort to repay.","boon,favor,medium value,politics"
"Boons: Trivial","A small favor (e.g., a ride, an introduction). One-time service.","boon,favor,low value,politics"
"Briar O'Connor","9th Gen Gangrel of Old Guard. Former Kinfolk, protects her sister Nettle (Black Spiral Dancer).","briar,gangrel,kinfolk,sabbat"
"Brood","A group of vampires sired by the same vampire. They are 'siblings' in blood.","brood,camarilla,family,siblings,term"
"Bugs","Nosferatu Ancilla and Master Harpy. The successor to Sister Tiffany, Bugs now controls the flow of status and scandal in Greater Asheville. Their word can make or break a Kindred's reputation in the court.","bugs,gossip monger,master harpy,nosferatu,status judge"
"Cadet","A recruit in training for the Black Hand. They must survive rigorous trials to become a full member.","black hand,cadet,recruit,sabbat,title,trainee"
"Cainite","The preferred term Sabbat vampires use for themselves, emphasizing their descent from Caine and rejection of their human past (unlike 'Kindred').","cainite,identity,proud,sabbat,term,vampire"
"Cainite Heresy","A Gnostic belief from the Dark Ages claiming vampires were angels sent by God to rule over mortals. It infiltrated the Church before being crushed by the Inquisition.","church,dark ages,heresy,history,lore,religion"
"Caitiff","The Clanless. Vampires who do not share the specific traits or social acceptance of a parent clan. They are often treated as second-class citizens or mistakes. They can learn any discipline but lack the social support structure of a clan.","bastard,caitiff,camarilla,clanless,no lineage,no status,outcast,outcasts,pariah,pariahs,scum,status"
"Cardinal","A high-ranking Sabbat leader who oversees a vast geographic region (e.g., the East Coast). They coordinate war efforts, sieges, and the movements of Archbishops. They hold a seat on the Consistory.","cardinal,general,lore,overseer,regional leader,sabbat,sabbat general,supreme commander,title"
"Carthage","The ancient city of the Brujah, where vampires lived openly with mortals. It was destroyed by the Ventrue and Roman armies, who salted the earth to bind the infernalists believed to hide there.","brujah,carthage,history,lore,rome,ventrue,war"
"Cassandra Grey","Malkavian Ancilla and Primogen. She is a seer and investigator, deeply involved in unraveling the mysteries of the Sabbat's movements and the internal threats to the domain. She recently sought tutelage in Necromancy.","cassandra,investigator,malkavian primogen,mystic,seer"
"Cast and Crew of Mallori Mayhem","A media-savvy Sabbat pack led by the chaotic Malkavian antitribu Mallori Mayhem. They utilize social media and flash-mob tactics to disrupt the Masquerade and terrorize the Kine. They view the Gehenna War as a form of performance art and are based out of the digital shadows.","chaos,mallori,mallori mayhem,media,media manipulators,pack,sabbat,sabbat pack"
"Celerity Round","Additional rounds in a combat turn that occur after the Everyman Round. Only characters with the Celerity discipline may act during these rounds.","celerity,combat,mechanics,speed,turn"
"Chancelor","A title sometimes used for the Keeper of records or a high-ranking advisor who manages the city's mortal influence and bureaucracy.","advisor,bureaucrat,camarilla,chancellor,clerk,title"
"Changeling","A fae soul reborn in a human body. They are creatures of dreams and glamour. Kindred find them confusing and their blood (fae blood) has hallucinogenic properties.","changeling,dreamer,fae,fairy,glamour,hallucinogen"
"Chicken Alley","A local Asheville landmark mentioned as existing in the darker Greater Asheville setting, implying the inclusion of local urban legends in the game's atmosphere.","asheville,chicken alley,flavor,legend,location"
"Childe","The progeny of a vampire. Until released, they are the responsibility of their sire.","camarilla,childe,offspring,student,title"
"Chorazin","The accursed city of the Baali. Believed to be where the infernalist clan retreats to worship their dark masters and await Gehenna.","baali,chorazin,city,history,infernal,lore"
"Chronicle Theme: Isolation","A central theme of the chronicle, reflecting the geography of the mountains and the political isolation of a Camarilla domain surrounded by Sabbat and Anarch territories.","geography,isolation,meta,mood,theme"
"Chronicle Theme: Religious Trauma","A specific theme explored in the game due to the setting's Sabbat history, acknowledging that much of the Sabbat's iconography and control mechanisms are twisted from Catholic trappings.","atmosphere,meta,religion,sabbat,theme,trauma"
"Clan Banu Haqim (Assamite)","The Clan of the Hunt. Judges, warriors, and viziers from the Middle East who recently joined the Camarilla. They utilize Quietus (silence/poison), Celerity, and Obfuscate. Their curse involves a darkening of the skin with age or a hunger for vampire blood (depending on caste).","assamites,blood addiction,celerity,clan of the hunt,judges,obfuscate,quietus"
"Clan Brujah","The Clan of the Learned (Rabble). Once philosopher-kings, now rebels and punks. They are prone to frenzy and value freedom and change. Their powers are Celerity, Potence, and Presence. They suffer from a short temper, increasing the difficulty to resist frenzy.","brujah,celerity,clan of the learned,potence,presence,rebels,short temper"
"Clan Gangrel","The Clan of the Beast. They are closer to their feral nature than any other clan, often living in the wild. Their powers are Animalism, Fortitude, and Protean (shapeshifting). When they frenzy, they gain temporary animal features. They are the outriders and scouts of the Camarilla.","animal features,animalism,clan of the beast,fortitude,gangrel,outlanders,protean"
"Clan Lasombra","The Clan of Night (Magisters). Formerly leaders of the Sabbat, many have defected to the Camarilla. They are social Darwinists who value strength and excellence. Their signature power is Obtenebration (control of shadows), along with Dominate and Potence. They cast no reflection in mirrors.","clan of night,dominate,magisters,no reflection,obtenebration,potence,shadows"
"Clan Malkavian","The Clan of the Moon. Cursed with insanity, they see truths others miss. They are oracles and madmen. Their powers include Auspex, Obfuscate, and Dementation (spreading madness). Every Malkavian suffers from at least one permanent, incurable mental derangement.","auspex,clan of the moon,dementation,insanity,lunatics,obfuscate,seers"
"Clan Nosferatu","The Clan of the Hidden. Twisted by the curse of Caine into hideous monsters, they hide in the sewers and shadows. They are the spymasters of the Kindred. Their powers are Animalism, Obfuscate (invisibility), and Potence (super strength). Their flaw is their horrific appearance, which breaches the Masquerade instantly.","animalism,clan of the hidden,horrific appearance,obfuscate,potence,sewer rats,spies"
"Clan Toreador","The Clan of the Rose. They are artists, critics, and hedonists who value beauty and passion above all. Their powers are Auspex (heightened senses), Celerity (supernatural speed), and Presence (attraction/fear). They are often distracted by beauty, freezing in awe of artistic perfection.","artists,auspex,celerity,clan of the rose,entrancement,hedonists,presence"
"Clan Tremere","The Clan of Warlocks. Former mages who stole immortality through blood sorcery. They are a pyramid scheme of occult power. Their unique discipline is Thaumaturgy (Blood Sorcery), alongside Auspex and Dominate. They are bound by a rigid hierarchy and often distrusted by other clans.","auspex,blood sorcerers,clan of warlocks,dominate,pyramid,thaumaturgy"
"Clan Ventrue","The Clan of Kings. They value hierarchy, lineage, and the power to command. Their signature powers are Dominate (mental control), Fortitude (supernatural resilience), and Presence (emotional manipulation). They suffer from a rarefied palate, able to feed only from a specific type of vessel.","blue bloods,clan of kings,dominate,fortitude,leaders,presence,rarefied palate"
"Clarence Henco","A Tremere wraith haunting the lost Chantry. Died protecting it in 1914.","chantry,ghost,npc,tremere,wraith"
"Cleaner","A Sabbat vampire responsible for cleaning up the Masquerade breaches (or 'Silence of the Blood' breaches) left after a raid.","cleaner,cleanup,fixer,sabbat,support,title"
"Cleaver","A vampire who tries to live a normal family life with mortals. Extremely risky.","archetype,cleaver,family,lifestyle,risk"
"Cleo","9th Gen Setite Pack Priest of Cast and Crew. Enigma.","cleo,priest,sabbat,setite"
"Cobbler","A Sabbat vampire (often Nosferatu) who creates fake identities and papers for the pack to move through mortal society.","cobbler,forger,sabbat,spy,support,title"
"Cock Robin (Justicar)","The Nosferatu Justicar. Confirmed in the 2023 post-Conclave shuffle.","cock robin,justicar,leader,nosferatu,npc"
"Code of Milan","The governing document of the Sabbat, emphasizing the duality of freedom and loyalty. It was adopted to stabilize the sect during civil wars in the New World.","code of milan,freedom,history,law,lore,sabbat"
"Commander (Passive Effect)","Passive Effect: You may issue orders to any sect member without Authority, and expect obedience. Disobedience strips the target of all Fleeting Status temporarily. You may also deputize up to 3 individuals with 'Enforcer' for a night.","commander,deputize,enforcer,mechanic,orders,passive,status"
"Commander (Spent Effect)","Spent Effect: You may award up to three characters either the Fleeting Status 'Courageous' or 'Loyal'.","buff,commander,granting status,mechanic,spent,status"
"Condition: Bound","Being blood bound to another. The character must defer to the regnant.","blood bond,condition,mechanics,slavery"
"Condition: Frenzying","Under the control of the Beast. Attack or flee (Rötschreck).","condition,frenzy,loss of control,mechanics"
"Condition: Impaired","Suffering from wound penalties. Dice pools are reduced.","condition,damage,impaired,mechanics,penalty"
"Condition: Staked","Paralyzed by a wooden stake through the heart. Conscious but unable to move.","condition,mechanics,paralyzed,staked"
"Condition: Torpid","Being in Torpor. The character is unconscious and vulnerable.","coma,condition,mechanics,torpid,vulnerable"
"Confirmed (Passive Effect)","Passive Effect: You may approach any officer of the sect without a formal introduction, avoiding social penalties.","access,confirmed,mechanic,passive,social,status"
"Confirmed (Spent Effect)","Spent Effect: You may order a non-supernatural mortal (ghoul, revenant) beholden to the sect to obey you (unless contradicting their master). You have the authority to kill such a mortal if they refuse. Cannot be used in combat.","command,confirmed,ghouls,mechanic,mortals,spent,status"
"Consensualist","A vampire who only feeds from willing victims (without coercion/discipline). rare and difficult.","archetype,consensualist,feeding,lifestyle,moral"
"Consistory","The council of Cardinals and Prisci that advises the Regent of the Sabbat.","consistory,council,lore,sabbat,structure"
"Consul","A representative of the Camarilla sent to a non-Camarilla city (like an Anarch Free State) to act as a liaison and observer.","camarilla,consul,diplomat,observer,spy,title"
"Convention of Thorns (1493)","The treaty signed at the Abbey of the Sacred Crown that ended the first Anarch Revolt. It officially formed the Camarilla and forced the Anarchs to join or flee (becoming the Sabbat).","1493,anarch,camarilla,history,lore,treaty"
"Coterie","A small group of vampires who band together for mutual protection and political gain. The basic social unit of the Camarilla.","allies,coterie,gang,group,party,social unit"
"Courageous (Passive Effect)","Passive Effect: You can use a combat maneuver once per game without spending Willpower. Only usable when following the directives of someone with Authority or Commander status.","combat,courageous,mechanic,passive,status,willpower"
"Courageous (Spent Effect)","Spent Effect: If not violating sect laws, expend to allow one character (self or other) to use a combat maneuver without spending Willpower.","buff,combat,courageous,mechanic,spent,status"
"Courteous (Passive Effect)","Passive Effect: You cannot be targeted by the Subterfuge skill to redirect blame for the use of a supernatural power.","courteous,defense,mechanic,passive,status,subterfuge"
"Courteous (Spent Effect)","Spent Effect: Overcome any political gaffe or etiquette error made in the last five minutes. The error is acknowledged but must be forgiven/ignored by those present.","courteous,defense,forgiveness,mechanic,social,spent,status"
"Courtesies of Spirituality","Rules regarding faith and art. Prohibits the Vaulderie. Art competitions held quarterly.","art,courtesies,rules,spirituality"
"Courtesies of War","Rules regarding combat and boundaries. Biltmore is off-limits. Scourge handles poachers.","courtesies,law,rules,war"
"Creation Rites","The Sabbat method of Embrace. Often involves 'shovelheading'—draining a victim, bashing them with a shovel, and burying them to claw their way out.","creation rites,embrace,lore,ritual,sabbat,shovelhead,shovelheading,survival of fittest"
"Cross-Appalachian Travel","The strategic goal of the Sabbat in 1910—to control the mountain passes for movement.","geography,history,sabbat,strategy,travel"
"Crossroads Music Studio","A recording studio in Arden destroyed by fire in March 2025. Site of the Masquerade breach by Zephyr.","arden,breach,crossroads,fire,location,masquerade violation,ruins,site,zephyr"
"Daggerface","Abbot of Murder Piñata. An 11th Gen Gangrel fanatic who uses Vicissitude to enhance his combat prowess.","abbot,daggerface,fanatic,gangrel,sabbat"
"Dahlonega Mint","The historical mint in Georgia seized by Confederates. Source of the 'bbat coins. The gold extracted has a psychic signature of murder.","gold,history,location,lore,mint"
"Daire Manning","Banu Haqim Sorcerer Abbot of 150 Guns.","abbot,banu haqim,daire,sabbat"
"Damien Natosa's Fashion Symbel","A contest held by the Elder Tzimisce/Ventrue Damien Natosa to update his wardrobe after waking from torpor.","damien natosa,fashion,history,social,symbel"
"Dan Drifter","Deceased Gangrel of Maximum Fatality. Diablerized by Anne-Marie Honey.","dan drifter,dead,gangrel,sabbat"
"Dark Selina","A rare vinyl record by The Hex. Contains subliminal messaging or mystical properties. Highly sought after.","hex,item,music,occult,record"
"Daughters of Cacophony","A bloodline of singers whose voices can shatter minds or objects. They are a split from the Toreador or Malkavians.","bloodline,daughters of cacophony,music,sirens,sonic powers"
"Daveed Fourié","Banu Haqim Ancilla and the current Prince of Greater Asheville (following Tallula's disappearance). He faces the monumental task of holding the domain together against Sabbat incursions, Anarch unrest, and the scrutiny of the Justicariate.","ancilla,banu haqim,new ruler,political pressure,prince daveed"
